843, 12-Apr-2021,INFY,128472,1438.59,8931478,43.81
1498, 12-Apr-2021,RELIANCE,85233,1922.99,4432542,45.95
683, 12-Apr-2021,HDFCBANK,77327,1374.47,5626304,49.9
755, 12-Apr-2021,ICICIBANK,70995,540.9,13125799,49.34
1589, 12-Apr-2021,SBIN,66527,329.89,20168862,26.71
1847, 12-Apr-2021,TATAMOTORS,59627,292.83,20366565,19.33
680, 12-Apr-2021,HDFC,58750,2425.22,2422529,64.21
190, 12-Apr-2021,BAJFINANCE,57224,4535.1,1261611,28.04
452, 12-Apr-2021,DRREDDY,48119,4906.69,980590,27.91
1864, 12-Apr-2021,TCS,43528,3275.21,1329121,35.05
1868, 12-Apr-2021,TECHM,42276,1035.38,4083369,51.71
712, 12-Apr-2021,HINDUNILVR,35181,2453.26,1433992,63.4
882, 12-Apr-2021,ITC,34415,207.32,16599695,48.1
1135, 12-Apr-2021,MARUTI,33215,6565.82,505862,49.56
339, 12-Apr-2021,CIPLA,31097,913.81,3403805,11.29
1004, 12-Apr-2021,KOTAKBANK,30845,1739.06,1773550,53.29
175, 12-Apr-2021,AXISBANK,30473,637.11,4782573,32.65
679, 12-Apr-2021,HCLTECH,29363,1015.97,2890337,48.36
1850, 12-Apr-2021,TATASTEEL,28562,868.35,3289066,14.86
1554, 12-Apr-2021,SAIL,27122,87.36,31042606,31.98
